id,ind,fname,lname,apartment,street,city,country,phone
001,FN,John
001,LN,Wick
001,AD,22,Continental Hotel, New York, USA
001,PH,9999999999
002,FN,Sherlock
002,LN,Homes
002,AD,44,Baker St, London, UK
002,PH,8888888888
003,FN,Ted
003,LN,Lasso
003,AD,AFC,Richmond, London, UK
003,PH,3336669990
004,FN,Star
004,LN,Lord
004,AD,
004,PH,
005,FN,Clark
005,LN,
005,AD,44,Daily Planet, Metropolis, USA
005,PH,1234567890
006,FN,Bruce
006,LN,Wayne
006,AD,1007,Mountain Drive, Gotham, USA
006,PH,1111111111
007,FN,Sachin
007,LN,Chavan
007,AD,2013,Mallesh Palya, Karnataka, India
007,PH,1111111111
008,FN,
008,LN,Chavan
008,AD,2013,Mallesh Palya, Karnataka, India
008,PH,
009,FN,Dundappa
